ActivityNumber;Username;SSN;Fullname;MobilePhone;Activity start Date;Activity End Date;Initial password;Given name;Surname;Address;Postal code;City;IDFromAdministrativeSystem;MobilePhone;Email;Classes
vi19iisa220;stud15;123456-0015;Colt Stevens;55511125;03-02-2020;19-06-2020;bS7grpvNnV;Colt;Stevens;Prinsens alle 2, 1248;8800;Viborg;51248;55511125;stud15@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud16;123456-0016;Londyn Moody;55511126;03-02-2020;19-06-2020;TZ8T6hfEE3;Londyn;Moody;Prinsens alle 2, 1249;8800;Viborg;51249;55511126;stud16@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud17;123456-0017;Bo Marquez;55511127;03-02-2020;19-06-2020;CWrNYDMnEu;Bo;Marquez;Prinsens alle 2, 1250;8800;Viborg;51250;55511127;stud17@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud18;123456-0018;Misael Byrd;55511128;03-02-2020;19-06-2020;QrVrKfCKDV;Misael;Byrd;Prinsens alle 2, 1251;8800;Viborg;51251;55511128;stud18@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud19;123456-0019;Jaylee Wilkins;55511129;03-02-2020;19-06-2020;hCy8zeycLC;Jaylee;Wilkins;Prinsens alle 2, 1252;8800;Viborg;51252;55511129;stud19@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud20;123456-0020;Jane Frost;55511130;03-02-2020;19-06-2020;vXR8ksyTx7;Jane;Frost;Prinsens alle 2, 1253;8800;Viborg;51253;55511130;stud20@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud21;123456-0021;Owen Mercer;55511131;03-02-2020;19-06-2020;3yp5xBsWCZ;Owen;Mercer;Prinsens alle 2, 1254;8800;Viborg;51254;55511131;stud21@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud22;123456-0022;Seth Liu;55511132;03-02-2020;19-06-2020;mawKfMBMju;Seth;Liu;Prinsens alle 2, 1255;8881;Thors�;51255;55511132;stud22@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud23;123456-0023;Cloe Wilcox;55511133;03-02-2020;19-06-2020;ZTTfEH9Hwh;Cloe;Wilcox;Prinsens alle 2, 1256;8800;Viborg;51256;55511133;stud23@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud24;123456-0024;Natalie Arnold;55511134;03-02-2020;19-06-2020;34rqqkEDW9;Natalie;Arnold;Prinsens alle 2, 1257;8800;Viborg;51257;55511134;stud24@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud25;123456-0025;Cooper Schroeder;55511135;03-02-2020;19-06-2020;6MT9HvuA42;Cooper;Schroeder;Prinsens alle 2, 1258;8800;Viborg;51258;55511135;stud25@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud26;123456-0026;Jaime Acevedo;55511136;03-02-2020;19-06-2020;ZfM7e4wcvq;Jaime;Acevedo;Prinsens alle 2, 1259;8800;Viborg;51259;55511136;stud26@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud27;123456-0027;Heather Wheeler;55511137;03-02-2020;19-06-2020;26sLJrxLKV;Heather;Wheeler;Prinsens alle 2, 1260;8800;Viborg;51260;55511137;stud27@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud28;123456-0028;Emilee Liu;55511138;03-02-2020;19-06-2020;UPJ7dTE62S;Emilee;Liu;Prinsens alle 2, 1261;8800;Viborg;51261;55511138;stud28@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud29;123456-0029;Eliana Hahn;55511139;03-02-2020;19-06-2020;vhhHrTkuww;Eliana;Hahn;Prinsens alle 2, 1262;8800;Viborg;51262;55511139;stud29@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud30;123456-0030;Uriah Ball;55511140;03-02-2020;19-06-2020;gtmH2LYn87;Uriah;Ball;Prinsens alle 2, 1263;8800;Viborg;51263;55511140;stud30@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud31;123456-0031;Johanna Black;55511141;03-02-2020;19-06-2020;Eescgr2aPH;Johanna;Black;Prinsens alle 2, 1264;8800;Viborg;51264;55511141;stud31@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud32;123456-0032;Charlee Schmitt;55511142;03-02-2020;19-06-2020;dKP8QZpz2Q;Charlee;Schmitt;Prinsens alle 2, 1265;8800;Viborg;51265;55511142;stud32@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud33;123456-0033;Zaria Ball;55511143;03-02-2020;19-06-2020;2TW4brjZg9;Zaria;Ball;Prinsens alle 2, 1266;8800;Viborg;51266;55511143;stud33@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud34;123456-0034;Jakayla Trujillo;55511144;03-02-2020;19-06-2020;YYfvw8r9v2;Jakayla;Trujillo;Prinsens alle 2, 1267;8881;Thors�;51267;55511144;stud34@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud35;123456-0035;Javon Lara;55511145;03-02-2020;19-06-2020;qEUpYGxNs8;Javon;Lara;Prinsens alle 2, 1268;8800;Viborg;51268;55511145;stud35@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud36;123456-0036;Sincere Avila;55511146;03-02-2020;19-06-2020;ye5WHg3CMS;Sincere;Avila;Prinsens alle 2, 1269;8800;Viborg;51269;55511146;stud36@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud37;123456-0037;Annabel Diaz;55511147;03-02-2020;19-06-2020;6XhkHJrFje;Annabel;Diaz;Prinsens alle 2, 1270;8800;Viborg;51270;55511147;stud37@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud38;123456-0038;Sullivan Farley;55511148;03-02-2020;19-06-2020;DGdQZbNRSE;Sullivan;Farley;Prinsens alle 2, 1271;8800;Viborg;51271;55511148;stud38@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud39;123456-0039;Anahi Cole;55511149;03-02-2020;19-06-2020;yaUMqnYWZb;Anahi;Cole;Prinsens alle 2, 1272;8800;Viborg;51272;55511149;stud39@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
vi19iisa220;stud40;123456-0040;Nehemiah Wolf;55511150;03-02-2020;19-06-2020;ZsjUrEq8a5;Nehemiah;Wolf;Prinsens alle 2, 1273;8800;Viborg;51273;55511150;stud40@student.eadania.dk;Programming, Network, IoT, How not to fall alseep during an online lecture, pentest
